cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
3	3434.40000000	100.00000000	mua	167.26525879	22	100.00000000	1.94837336	unsorted	30223	0
8	4064.10000000	100.00000000	good	151.53649902	21	200.00000000	5.77014544	unsorted	89506	0
12	3093.50000000	100.00000000	mua	140.49905396	21	200.00000000	2.76303749	mua	42860	0
14	2270.80000000	100.00000000	good	109.71658325	17	600.00000000	25.50987577	good	395707	0
15	1798.10000000	100.00000000	mua	63.00343323	18	500.00000000	0.00863852		134	0
17	2786.50000000	100.00000000	mua	137.61470032	19	400.00000000	0.83464877	good	12947	0
18	2959.00000000	100.00000000	mua	143.00273132	16	700.00000000	2.12294885	mua	32931	0
19	4421.70000000	100.00000000	good	167.96929932	15	800.00000000	24.74813870	good	383891	0
20	3690.40000000	100.00000000	mua	152.98773193	15	800.00000000	0.00973445		151	0
27	2995.00000000	100.00000000	good	146.80001831	14	900.00000000	1.19456567	mua	18530	0
30	3523.00000000	100.00000000	good	174.50895691	11	1200.00000000	0.71216228	good	11047	0
31	2825.00000000	100.00000000	mua	129.43690491	10	1300.00000000	1.51438436	mua	23491	0
32	3066.20000000	100.00000000	good	152.07565308	11	1200.00000000	0.45822843	mua	7108	0
33	2165.70000000	100.00000000	mua	82.82168579	9	1400.00000000	0.73923824	mua	11467	0
39	2593.30000000	100.00000000	mua	119.14624023	2	2100.00000000	9.84997723	mua	152792	0
42	2460.60000000	100.00000000	mua	94.88296509	1	2200.00000000	0.12641896		1961	0
46	3881.70000000	100.00000000	mua	161.03620911	7	1600.00000000	27.29585782	mua	423411	0
47	3881.70000000	100.00000000	mua	161.03620911	7	1600.00000000	0.00541519	mua	84	0
57	3389.00000000	100.00000000	mua	141.94001770	5	1800.00000000	14.95186213	mua	231932	0
58	3389.00000000	100.00000000	mua	141.94001770	5	1800.00000000	0.00193400	noise	30	0
59	2817.80000000	100.00000000	mua	129.24316406	23	0.00000000	0.00064467		10	0
60	2817.80000000	100.00000000	mua	129.24316406	23	0.00000000	9.50811097	mua	147489	0
62	2748.00000000	100.00000000	mua	110.97864532	4	1900.00000000	14.89835487	mua	231102	0
64	3144.70000000	100.00000000	mua	146.71173096	22	100.00000000	0.01276438		198	0
65	3144.70000000	100.00000000	mua	146.71173096	22	100.00000000	5.55966206	mua	86241	0
66	3336.40000000	100.00000000	mua	167.19049072	15	800.00000000	0.00025787	noise	4	0
71	2148.20000000	100.00000000	mua	91.87699890	20	300.00000000	0.52275947	noise	8109	0
72	2770.90000000	100.00000000	good	118.69139862	21	200.00000000	0.21583410		3348	0
74	3432.70000000	100.00000000	mua	168.34954834	23	0.00000000	0.00135380		21	0
75	3432.70000000	100.00000000	mua	168.34954834	23	0.00000000	0.18508354		2871	0
77	3901.00000000	100.00000000	good	149.18417358	21	200.00000000	0.08187255		1270	0
78	2540.10000000	100.00000000	mua	104.76412964	12	1100.00000000	0.04667380		724	0
82	3207.90000000	100.00000000	mua	130.64862061	15	800.00000000	0.08187255		1270	0
100	3336.40000000	100.00000000	mua	167.19049072	15	800.00000000	2.93013486	good	45452	0
102	3336.40000000	100.00000000	mua	167.19049072	15	800.00000000	0.00154720	noise	24	0
103	2369.80000000	100.00000000	mua	85.39778137	6	1700.00000000	0.00070913	noise	11	0
104	2369.80000000	100.00000000	mua	90.98014069	6	1700.00000000	1.56099369	mua	24214	0
